LANGUAGE	English	German	French	Spanish	Chinese
EnabledAccessibility	Enabled Accessibility	Barrierefreiheit eingeschaltet	Activé Accessibilité	Accesibilidad habilitado	啟用輔助功能模式
DisabledAccessibility	Accessibility turned off. Tap three times with three fingers to turn back on.	Barrierefreiheit ausgeschaltet. Zum Einschalten mit drei Fingern dreimal schnell auf den Bildschirm tippen.	L'accessibilité est éteint. Appuyez trois fois avec trois doigts pour faire demi-tour sur.	Accesibilidad apagado. Toque tres veces con tres dedos para volver a encender.	關閉輔助功能模式
TalkBack_PleaseSuspend	Please suspend TalkBack during play.	Bitte TalkBack während des Spielens pausieren.	S'il vous plaît suspendre TalkBack pendant le jeu.	Por favor, suspender TalkBack durante el juego.	請暫停Talkback
DropdownItemIndex	Item XX of YY	Eintrag XX von YY	Point XX de YY	Artículo XX de YY	YY 中的 XX
DropdownItemSelected	TT selected	TT ausgewählt	TT sélectionné	TT seleccionado	選擇了 TT
ElementDisabled	Disabled	Deaktiviert	désactivé	Discapacitado	關閉
Element_Button	Button	Schaltfläche	Bouton	Botón	按鈕
Element_Slider	Slider	Regler	curseur	deslizador	滑桿
Element_Toggle	Toggle	Checkbox	Basculer	Palanca	切換按鈕
Element_TextEdit	Text Edit Field	Texteingabefeld	Modifier le texte Champ	El campo de edición de texto	文字編輯欄
Element_Dropdown	Dropdown List	Aufklappbare Liste	La liste déroulante	La lista desplegable	下拉列表
Checkbox_Checked	checked	angewählt	vérifié	comprobado	剔選
Checkbox_NotChecked	not checked	nicht angewählt	pas vérifié	Sin revisar	未剔選
Keyboard_PasswordHidden	password hidden	Passwort wird nicht angezeigt	mot de passe caché	contraseña oculta	密碼隱藏
Keyboard_CapitalLetter	captial X	grosses X	X majuscule	X mayúscula	大階 X
Keyboard_ShowingLetters	showing letters	zeige Buchstaben an	montrant des lettres	mostrando las cartas	顯示字母
Keyboard_ShowingNumbers	showing numbers	zeige Zahlen an	chiffres montrant	mostrando los números	顯示數字
Keyboard_ShowingSymbols	showing symbols	zeige Symbole an	montrant des symboles	mostrando símbolos	顯示符號
Keyboard_Letters	Letters	Buchstaben	Des lettres	Letras	字母
Keyboard_Numbers	Numbers	Zahlen	Nombres	Números	數字
Keyboard_Symbols	Symbols	Symbole	symboles	símbolos	符號
Keyboard_NumbersAndSymbols	Numbers and symbols	Zahlen und Symbole	Les nombres et les symboles	Números y símbolos	數字和符號
Keyboard_ShowingLanguage	Keyboard language	Tastatur Sprache	Langue du clavier	idioma del teclado	鍵盤語言
Keyboard_Hidden	Keyboard hidden	Tastatur geschlossen	clavier caché	teclado escondido	隱藏鍵盤
Keyboard_Showing	Showing keyboard	Tastatur wird angezeigt	clavier Affichage	que muestra el teclado	顯示鍵盤
Keyboard_Return	New Line	Neue Zeile	Nouvelle ligne	Nueva línea	新一行
Keyboard_Done	Done	Abschicken	Terminé	Hecho	完成
Keyboard_Space	Space	Leertaste	Espace	Espacio	空隔
Keyboard_Delete	Delete	Löschen	Effacer	Borrar	刪除
Keyboard_Cancel	Cancel	Abbrechen	Annuler	Cancelar	取消
Keyboard_DeleteAll	Delete all	Text löschen	supprimer tout	Eliminar todos	刪除所有
Keyboard_ShiftKey	Shift key	Umschalttaste	Touche Majuscule	Tecla Shift	Shift鍵
